filename,title,keywords,summary,creation_date,edit_time
02072021223949-functional-gestures.md,Functional Gestures,##zettel #gestures #computer #vision #archive,Physical gestures that carry semantic meaning,2021-02-07T00:00:00.0,2022-12-29T07:28:53.764
02082021170353-cdm-standardized-tables.md,CDM Standardized Tables,#zettel #omop #cdm #table #standardized #archive,Standardized tables used in the OMOP Common Data Model,2021-02-08T00:00:00.0,2022-12-29T07:28:24.48
02082021203324-r-programming.md,Programming in R,#zettel #r #programming #statistics #archive,Tips and tricks I learn while writing R code,2021-02-08T00:00:00.0,2022-12-29T07:29:06.334
02082021203741-R-file-manipulation.md,Manipulating Files in R,#zettel #r #programming #tips #tricks #archive,Tips and tricks on how to manipulate files in R,2021-02-08T00:00:00.0,2022-12-29T07:29:14.34
02082021205610-renv-package.md,renv - Reproducible Environments in R,#zettel #r #programming #package #archive,Useful state of the art package for reproducing R projects,2021-02-08T00:00:00.0,2022-12-29T07:29:26.848
02092021024221-organized-denialism.md,Organized Denialism,##zettel #denialism #organized #archive,Organized ignorance and invalidation of legitimate information,2021-02-08T00:00:00.0,2022-12-29T07:30:16.188
02142021230244-positivism.md,Positivism,##zettela #positivism  #archive,The philosophy of positivism,2021-02-14T00:00:00.0,2022-12-29T07:30:23.003
02142022220749-claims-summary.md,What Are Claims?,#archive #us #claims #medical #process #patient,An overview on what are medical claims within the US,2022-02-14T00:00:00.0,2022-12-29T07:31:12.96
02152021024738-artificial-intelligence-timeline.md,Artificial Intelligence Timeline,##timeline #artificial #intelligence #history  #archive,A timeline summary of the history of Artificial Intelligence,2021-02-14T00:00:00.0,2022-12-29T07:31:22.398
02182022164256-rdf-history.md,History of the RDF,#rdf #history #w3c #metadata #archive,Very brief history of the RDF,2022-02-18T00:00:00.0,2022-12-29T07:31:28.091
02182022165447-rdf-overview.md,Overview of the Resource Description Framework (RDF),#rdf #overview #triplet #graph #framework #archive,An overview of the RDF and how it works,2022-02-18T00:00:00.0,2022-12-29T07:33:05.608
02182022172731-rdf-file-formats.md,RDF Data Storage Formats,#rdf #formats #data #turtle #xml #storage #archive,Types of data storage formats available for RDF,2022-02-18T00:00:00.0,2022-12-29T07:33:14.212
02182022190950-rdf-acset-representation.md,How To Imagine an RDF as an ACSet,#rdf #acset #graph #triple #archive,How RDFs can be conceptualized as an ACSet,2022-02-18T00:00:00.0,2022-12-29T07:34:02.162
02192022220548-database-schemas.md,Overview of Database Schemas,#archive #database #schema,A brief overview on what database schemas are,2022-02-19T00:00:00.0,2022-12-29T07:34:42.285
03012021162136-metapopulation-analysis.md,Metapopulation Analysis,##zettel #biology #sociology #population #analysis #mobility #extinction  #archive,An overview of metapopulation analysis and how it could be,2021-03-01T00:00:00.0,2022-12-29T07:35:51.024
03092020022148-health-spectrum.md,Health as a Spectrum,##zettel #health #society #public #archive,An idea that health can exist on a spectrum,2022-12-02T00:00:00.0,2022-12-29T07:36:16.407
03092020022908-education-spectrum.md,Education as a Spectrum,##zettel #education #knowledge #science #archive,The idea that there is no clear delineation of knowledge in reality.,2020-03-09T00:00:00.0,2022-12-29T07:36:59.704
03092020025554-health-index.md,"The Health Index, Jacob :mask:",##index ##health ##healthcare ##publichealth #pandemic #epidemiology #archive,"Index of topics pertaining to health, healthcare, public health, and other domains.",2020-03-09T00:00:00.0,2022-12-29T07:37:18.431
03092020031549-zettelkasten.md,Zettelkasten,##summary ##zettelkasten #learning #research #tool #archive,An overview on the Zettelkasten note taking system as made popular by sociologist Niklas Luhmann.,2022-12-02T00:00:00.0,2022-12-29T07:37:54.894
03092020031618-zettelkasten-principles.md,Principles of the Zettelkasten,##zettel #zettelkasten #principles #atomicity #archive,General principles on how to create and use a Zettelkasten.,2022-12-02T00:00:00.0,2022-12-29T07:38:03.898
03092020033420-aware-homes.md,Aware Homes,##summary ##technology #ubicomp #computerscience #technology #ambient #networking #archive,"A summary on what is an aware home, its history, and its applications",2022-12-02T00:00:00.0,2022-12-29T07:38:27.808
03092020035135-kidd-aware-home.md,The Aware Home: A Living Laboratory for Ubiquitous Computing Research,##zettel #awarehome #georgiatech #computerscience #research  #archive,Gives an overview of the Georgia Tech Aware Home.,2022-12-02T00:00:00.0,2022-12-29T07:38:34.65
03092020071146-context-aware.md,Context-Aware Applications,##zettel #ubicomp #computerscience #technology #awarehome #georgiatech #archive,Explains what is a context-aware application.,2022-12-02T00:00:00.0,2022-12-29T07:38:40.641
03102020004043-open-wearables-initiative.md,Open Wearables Initiative,##zettel #opensource #dataset #research #healthcare #technology #wearables #health #archive,OWEAR is a collaboration designed to promote the effective use of sensor-generated measures of health in clinical research through the open sharing and benchmarking of algorithms and datasets.,2020-03-10T00:00:00.0,2022-12-29T07:38:46.432
03102020051547-sars-cov-2.md,SARS-CoV-2,##summary ##health #covid19 #publichealth #pandemic #globalhealth #health #healthcare  #archive,Gives an overview of the 2020 SARS-CoV-2 (COVID19) pandemic and what the disease is.,2020-03-10T00:00:00.0,2022-12-29T07:38:54.474
03102020052237-covid19-dying.md,Risk of Dying from COVID19,##zettel #covid19 #health #disease #epidemiology  #archive,Note on the current fatality when acquiring COVID19.,2020-03-10T00:00:00.0,2022-12-29T07:38:59.276
03102020053006-cdc-respiratory-preventions.md,CDC Respiratory Disease Prevention,##zettel #cdc #health #publichealth #disease #archive,Note on generic methods on preventing respiratory infection approved by the CDC.,2020-03-10T00:00:00.0,2022-12-29T07:39:02.935
03102020054429-coronavirus-definition.md,Coronavirus Definition,##zettel #health #coronavirus #disease #epidemiology  #archive,Note on what coronavirus is.,2020-03-10T00:00:00.0,2022-12-29T07:39:05.756
03102020061135-raspberry-pi.md,Raspberry Pi,##summary ##computer ##raspberrypi ##technology #research #cheap #debian #archive,"A summary of tools, information, and resources related to the Raspberry Pi microcomputer.",2020-03-10T00:00:00.0,2022-12-29T07:39:40.527
03102020061429-wfdb-format.md,WFDB Record,##summary #wfdb #dataformat #storage #healthcare #opensource #standard  #archive,Overview of the Waveform Database (WFDB) record format,2020-03-10T00:00:00.0,2022-12-29T07:39:46.371
03152021204433-mysql-programming.md,Learning MySQL,##zettel #mysql #sql #query #language #databases #archive,Notes on my adventures in learning MySQL syntax and concepts,2021-03-15T00:00:00.0,2022-12-29T07:39:54.764
03172020033742-antifragility.md,Antifragility,##zettel #antifragile #philosophy #fragile #robust #model #archive,An overview on Nassim Taleb's thoughts on Antifragility.,2020-03-17T00:00:00.0,2022-12-29T07:40:00.902
03192020013253-bullet-journal.md,Bullet Journal,##summary ##bulletjournal #productivity #model #writing #journaling #reflection #projectmanagement #mentalhealth #creativity #archive,An overview of how to use a bullet journal and how to make one.,2020-03-19T00:00:00.0,2022-12-29T07:40:04.106
03192020013347-bullet-journal-month.md,Monthly Planning in a Bullet Journal,##zettel #bulletjournal #productivity #monthly  #archive,How to create a monthly plan when using a bullet journal.,2020-03-19T00:00:00.0,2022-12-29T07:40:07.005
03192020035337-bullet-journal-weekly.md,Weekly Planning in a Bullet Journal,##zettel #bulletjournal #productivity #weekly #gtd #archive,How to create a weekly plan when using a bullet journal.,2020-03-19T00:00:00.0,2022-12-29T07:40:09.069
03192020035441-bullet-journal-daily.md,Daily Planning in a Bullet Journal,##zettel #bulletjournal #productivity #journaling #writing #daily #key  #archive,How to create a daily plan when using a bullet journal.,2020-03-19T00:00:00.0,2022-12-29T07:40:12.451
03192020045854-get-things-done.md,Get Things Done,##summary ##gtd #productivity #models #business #archive,"An overview of David Allen's 'Get Things Done' framework to manage projects, tasks, and life.",2020-03-19T00:00:00.0,2022-12-29T07:40:15.134
03192020050130-gtd-definition.md,GTD Definition,##zettel #productivity #model #framework #definition #archive,A concise definition of what the GTD framework is.,2020-03-19T00:00:00.0,2022-12-29T07:40:17.388
03192020050207-gtd-implementation.md,GTD Implementation,##zettel #gtd #productivity #lists #projectmanagement #projects  #archive,A guide on how GTD is implemented.,2020-03-19T00:00:00.0,2022-12-29T07:40:19.738
03192020050249-gtd-weekly-review.md,GTD Weekly Review,##zettel #review #weekly #model #productivity #archive,How to conduct weekly reviews using GTD.,2020-03-19T00:00:00.0,2022-12-29T07:40:22.116
03192020050346-trigger-list.md,Trigger Lists,##zettel #archive,Trigger lists can be used to 'trigger' ideas or thoughts by reading custom phrases or items on a list.,2020-03-19T00:00:00.0,2022-12-29T07:40:24.772
03212020002114-causality-information.md,Causality and Information Retrieval,##zettel #justintime #informationretrieval #jitrs #causality #reasoning #ai #agi #archive,Thoughts on why I think JITRs are inferior to causal models.,2020-03-21T00:00:00.0,2022-12-29T07:40:56.025
03232020235136-electrodermal-activity.md,Electrodermal Activity,##summary ##signalprocessing ##healthcare #informatics #health #signalprocessing #signal #biomarker  #archive,A summary of what electrodermal activity is and its use as a biomarker and use in signal processing.,2020-03-23T00:00:00.0,2022-12-29T07:41:51.856
03242020003215-eda-explained.md,What Is Electrodermal Activity?,##zettel #biomarker #biology #physiology #health #signal #signalprocessing #stress  #archive,What electrodermal activity is and its pros and cons as a biomarker,2020-03-24T00:00:00.0,2022-12-29T07:41:56.495
03272020050924-discrete-haar.md,Discrete Haar Wavelet Transform,##zettel #signalprocessing #wavelet #changes #python  #archive,Introduction to discrete haar wavelet transform and use cases,2020-03-27T00:00:00.0,2022-12-29T07:42:04.889
03272020061037-eda-artifacts.md,Common Causes of Artifact in EDA Signals,##zettel #eda #signalprocessing #biomarker #artifact #noise #skin #archive,An overview of common artifacts in EDA signals,2020-03-27T00:00:00.0,2022-12-29T07:42:08.837
03272020062857-artifact-removal.md,Artifact Removal Methods,##summary #digital #signal #processing #artifact #removal #smoothing  #archive,An overview on commonly used signal processing methods to remove artifacts from signals.,2020-03-27T00:00:00.0,2022-12-29T07:42:11.712
03272020064312-exponential-smoothing.md,Exponential Smoothing,##zettel #signalprocessing #noise #artifact #smoothing #window #julialang #archive,An overview on how to use the exponential smoothing algorithm,2020-03-27T00:00:00.0,2022-12-29T07:42:13.883
03272020083421-call-center.md,Call Center Stress Recognition with Person-Specific Models,##bibliography #eda #mit #affectivecomputing #medialab #stress #archive,Assessment of stress in call center employees using skin conductance sensors to measure SCR/EDA.,2020-03-27T00:00:00.0,2022-12-29T07:42:16.659
03292020180520-smart-notes.md,How to Take Smart Notes,##bibliography #knowledge #notetaking #zettelkasten #mentalmodels #writing #blog #archive,Takeaways from the book How to Take Smart Notes,2020-03-29T00:00:00.0,2022-12-29T07:43:08.327
03292020221326-what-mental-models.md,What are Mental Models?,##zettel #mentalmodels #structure #thinking #knowledge  #archive,A brief synopsis on what mental models are,2020-03-29T00:00:00.0,2022-12-29T07:43:26.534
03302020002654-ought-create.md,How We Ought to Create,##zettel #writing #creating #academia #music #archive,A note on how we ought to create,2020-03-30T00:00:00.0,2022-12-29T07:43:39.417
03302020005409-note-criteria.md,Criteria for Creating a Note in the Zettelkasten,##zettel #zettelkasten #information #knowledge #criteria #questions #archive,Simple criteria for when and how to add notes to the Zettelkasten,2020-03-30T00:00:00.0,2022-12-29T07:44:42.039
03302020013824-linear-thinking.md,We Are Not Linear; Why Do We Learn Linearly?,##idea #thinking #education  #archive,Idea on thinking linearly,2020-03-30T00:00:00.0,2022-12-29T07:44:58.659
04092020153616-eda-biomarker.md,EDA as a Biomarker,##zettel #eda #biomarker #healthcare #biosystems #sensors #scl #skin #scr #response #archive,How EDA is used generally as a biomarker.,2020-04-09T00:00:00.0,2022-12-29T07:45:33.733
04092020161622-skin-conductance.md,What Is Skin Conductance Level?,##zettel #eda #scl #skin #response  #archive,Summary of what is skin conductance level.,2020-04-09T00:00:00.0,2022-12-29T07:45:36.199
04092020162632-skin-response.md,What Is Skin Conductance Response?,##zettel #scr #eda #fast #signal  #archive,A brief overview of what skin conductance response is and how it is conventionally used.,2020-04-09T00:00:00.0,2022-12-29T07:45:40.13
04092020195141-transparent-eda-data.md,"Simple, Transparent, and Flexible Automated Quality Assessment Procedures for Ambulatory Electrodermal Activity",##bibliography #eda #rochester #eda #rules #simple #transparent #autism #children #pediatrics #archive,"A simple, transparent, flexible, and automated quality assessment procedure for ambulatory EDA data",2020-04-09T00:00:00.0,2022-12-29T07:45:46.071
04102022034503-othello.md,Othello,##summary ##book #play #tragedy #racism #boredeom ##blog #archive,A review of the book Othello and some thoughts on the central conflict,2022-04-09T00:00:00.0,2022-12-29T07:45:51.467
04112022004224-lord-of-flies.md,Lord of the Flies,##summary ##book #survival #social #critique #archive,A review of the book as well as thoughts on why I did not enjoy it,2022-04-10T00:00:00.0,2022-12-29T07:46:16.483
04112022133109-denied-claims.md,Denied Claims,##summary #claims #denied #medical #archive,An overview of what denied claims are,2022-04-11T00:00:00.0,2022-12-29T07:46:23.645
04112022133137-rejected-claims.md,Rejected Claims,#medical #claims #rejected #summary #error #archive,An overview of what rejected claims are,2022-04-11T00:00:00.0,2022-12-29T07:46:26.641
04162022002725-mathematician-gender-rethinking.md,X + Y : A Mathematician’s Manifesto for Rethinking Gender,##summary ##blog #review #book #gender #ingressive #congressive #category #theory #archive,Book review on an approach of using category theory to decouple and discuss characteristics of gender without conflating the two - great read!,2022-04-15T00:00:00.0,2022-12-29T07:46:36.204
04162022021058-mansplaining.md,What Is Mansplaining?,##summary #mansplaining #gender #archive,An overview on the concept of mansplaining,2022-04-15T00:00:00.0,2022-12-29T07:46:42.19
04162022022947-body-mass-index.md,Body Mass Index (BMI),##summary #biomarker #body #mass #index #archive,An overview of the body mass index and some of the concern surrounding it.,2022-04-15T00:00:00.0,2022-12-29T07:46:51.666
04172022033744-open-knowledge-standard.md,The Open Knowledge Model,#open #knowledge #standard ##summary #format #blog #archive,A working proposal on a standard knowledge format for taking notes,2022-04-16T00:00:00.0,2022-12-30T06:55:56.422
04182020162028-global-programming.md,Global Programming Paradigm,##zettel #paradigms #models #writing #programming ##metascience #smart #blank #page #poet #archive,A thought on a global overlapping paradigm for developing useful and just-in-time software,2020-04-18T00:00:00.0,2022-12-29T07:48:11.896
04202022021854-picture-dorian-gray.md,The Picture of Dorian Gray,##summary #review #book #hedonism #privilege #corruption #morality #homosexuality #archive,"Book review on the extreme hedonism, classist privilege, and complete moral collapse written about Dorian Gray",2022-04-19T00:00:00.0,2022-12-29T07:48:21.061
04222020151920-linear-theorem.md,Possible Solution Sets for Linear Equations,##zettel #linearalgebra #deduction #system #linear #equations #theorem #math #archive,,2020-04-22T00:00:00.0,2022-12-29T07:48:24.993
04222020154543-data-fusion.md,Definition of Data Fusion,##zettel #data #fusion #definition #archive,One of the best definitions I have found for data fusion,2020-04-22T00:00:00.0,2022-12-29T07:48:27.988
04252020024813-median-filtering.md,Median Filtering,##zettel #signalprocessing #noise #artifact #filtering #window #julialang #median #movingaverage #downsampling #archive,An overview on how to use and implement a median filter,2020-04-25T00:00:00.0,2022-12-29T07:48:31.575
04282020175356-sleep-act.md,Sleep as an Act of Faith,##zettel #sleep #faith #psalm5 #archive #blog,Choosing to sleep is an act of faith,2020-04-28T00:00:00.0,2022-12-29T07:49:59.077
05022022144808-state-of-telehealth.md,State of Telehealth,##bibliography #telehealth #care #digital #chronic #acute #conditions #wait #time #archive,An overall summary and review of the state of telehealth based off literature,2022-05-02T00:00:00.0,2022-12-29T07:50:04.435
05022022153220-evaluating-telehealth.md,Strategies for Evaluating Telehealth,##bibliography #telehealth #sprout #quality #ahrq #who #care #delivery #archive,Short summary of the SPROUT Telehealth Evaluation and Measurement profile and how it is used,2022-05-02T00:00:00.0,2022-12-29T07:50:06.962
05022022155118-telehealth.md,Telehealth,##bibliography #telehealth #cpt #quality #multistate #licensing #archive,Exhaustive landscape analysis looking into telehealth opportunities and challenges,2022-05-02T00:00:00.0,2022-12-29T07:50:09.495
05022022171845-telehealth-global-emergencies.md,Telehealth for global emergencies: Implications for coronavirus disease 2019 (COVID-19),##bibliography #covid #telehealth #clinician #unwillingness #remittance #archive,A great summary of how telehealth interventions can be used both in the COVID-19 pandemic and in general,2022-05-02T00:00:00.0,2022-12-29T07:50:11.359
05022022181455-telehealth-explained.md,What Is Telehealth?,##outline #telehealth #background #emergency #framework #quality #care #acute #chronic #archive,An outline addressing what is telehealth and core components,2022-05-02T00:00:00.0,2022-12-29T07:50:13.354
05032020155207-fabrication-serendipity.md,Niklas Luhmann's Card Index: The Fabrication of Serendipity,##zettel #database #computer #niklasluhmann #zettelkasten  #archive,A more in-depth examination of the Zettelkasten method,2020-05-03T00:00:00.0,2022-12-29T07:50:23.72
05072022162026-personal-faith-perspectives.md,Personal Perspectives on Faith,##blog #faith #christianity #nicean #creed #archive,An evolving note on my perspectives on faith as a practicing,2022-05-07T00:00:00.0,2022-12-29T07:50:31.964
05082022174413-the-stranger.md,The Stranger,#archive,,2022-05-08T00:00:00.0,2022-12-29T07:51:04.703
05092020053727-incremental-reading.md,Incremental Reading,##zettel #incremental #reading ##knowledge ##technique #generation #interleaving #breaks #brief #attention #archive,An overview of the process of incremental reading,2020-05-09T00:00:00.0,2022-12-29T07:51:14.17
05092020053840-room-mind.md,The Room as an Extension of the Mind,##zettel #memory #mind #mental #smoking #jar #mess #corning #mapping #cognitive #load #archive,Working thought on how a person's environment can function as an extension of one's mental processes. Could possibly lead to decrease in cognitive loading.,2020-04-28T00:00:00.0,2022-12-29T07:51:25.651
05102020220941-leitner-system.md,Leitner System,##zettel #learning #repetition #flashcards #spaced  #archive,A brief overview of how the Leitner system works,2020-05-10T00:00:00.0,2022-12-29T07:51:44.124
05132020134039-linear-combination.md,Linear Combination,##zettel #linearalgebra #vectors ##mathematics #geometry #archive,A loose overview on linear combination and it geometric relationship,2020-05-13T00:00:00.0,2022-12-29T07:51:47.126
05132020135855-linear-vectors.md,Vectors,##zettel #column #vectors #linear #algebra ##mathematics  #archive,Simple write up on column vectors,2020-05-13T00:00:00.0,2022-12-29T07:51:49.307
05152022174848-structure-revolutions.md,The Structure of Scientific Revolutions,##book ##blog ##outline #review #normal #science #paradigm #shift #revolution #science #philosophy #crisis #archive,"A book review of Thomas Kuhn's most famous book that challenged all of the philosophy of science and introduced such concepts as normal science, paradigm shift, why non-scientific fields struggle with similar revolutions, and when one can adopt new paradigms.",2022-05-15T00:00:00.0,2022-12-29T07:51:54.733
05172020232612-smoking-cessation.md,Eight-Year Follow-Up Of A Community-Based Large Group Behavioral Smoking Cessation Intervention,##bibliography #smoking #cessation #jar #addiction #health #cognitive #behavioral #support #group #large #archive,Study involving effective cognitive behavioral-based interventions for increasing smoking cessation in large group settings.,2020-05-17T00:00:00.0,2022-12-29T07:52:14.039
05172021000348-book-of-ohdsi.md,The Book of OHDSI,##bibliography #ohdsi #research #omop #cdm #atlas #archive,The bible of OHDSI detailing how to work with the OHDSI research network.,2021-05-16T00:00:00.0,2022-12-29T07:52:17.723
05172021000429-observational-studies.md,Observational Research Studies,##zettel #observational #research #study #ohdsi #archive,,2021-05-16T00:00:00.0,2022-12-29T18:43:53.398
05172021002851-ohdsi-study-packages.md,OHDSI Study Packages,##zettel #reproducible #science #ohdsi #research #study #package #archive,,2021-05-16T00:00:00.0,2022-12-29T18:44:30.071
05182020005014-smoking-recovery-indicators.md,Predictors and Factors Affecting Smoking Cessation,##zettel #predictors #factors #positive #negative #drinking #support #stress  #archive,Common positive and negative factors facilitating smoking cessation.,2020-05-18T00:00:00.0,2022-12-29T18:45:11.922
05192020171152-implicit-return.md,Implicit Returns,##zettel #julialang #programming #implicit #return #archive,How Julia performs implicit returns,2020-05-19T00:00:00.0,2022-12-29T18:45:23.629
05202020224416-line-two-points.md,Finding a Line Which Contains Two Points,##zettel #algebra #line #point #slope #formula #archive,An explanation on how to find a line that fits to two points,2020-05-20T00:00:00.0,2022-12-29T18:45:31.24
05222022044134-normal-science.md,What is ,#normal #science #characteristics #work #archive,An overview of what normal science is according to Thomas Kuhn.,2022-05-22T00:00:00.0,2022-12-29T18:45:45.119
05222022044626-kuhnian-paradigm.md,What Are Kuhnian Paradigms?,##outline #science #normal #exemplar #paradigm #characteristics #archive,An overview on what Thomas Kuhn meant by paradigm and how that applies to science.,2022-05-22T00:00:00.0,2022-12-29T18:46:04.238
05222022045723-scientific-revolutions.md,Scientific Revolutions,##outline #revolution #scientific #shift #paradigm #archive,The careful nuance that Kuhn used when he created the phrase 'Scientific Revolution',2022-05-22T00:00:00.0,2022-12-29T18:46:10.76
05222022045931-new-paradigms.md,Invoking New Paradigms,#new #paradigm #adoption #faith #archive,The costs of invoking a new paradigm and the lead-up to developing one,2022-05-22T00:00:00.0,2022-12-29T18:46:21.571
05222022050357-non-linearity-science.md,On the Non-Linearity of Science,#view #paradigm #progress #science #history #textbooks #nonlinear #archive,The radical view that Thomas Kuhn introduced that science itself is not moving to any specific truth but rather that the scientific organ continues to move forward in a very heap-like fashion.,2022-05-22T00:00:00.0,2022-12-29T18:46:26.961
05222022225241-understanding-media-extensions.md,Understanding Media: The Extensions of Man,##book #review #media #extensions #anxiety #society #medium #global #village #technology #archive,An overview on this excellent book on media philosophy and media's intersection with society and its affects on people and community as well as eerie premonitions for the future of a technological age.,2022-05-22T00:00:00.0,2022-12-29T18:46:36.827
05232022035841-scrcpy-screen-copy.md,Scrcpy Screen Copy,#howto #screen #share #foss #android #archive,,2022-05-22T00:00:00.0,2022-12-29T18:46:45.956
05252020183020-spaced-repetition-systems.md,Spaced Repetition Systems,##zettel #spaced #repetition #system #spacing #effect ##learning #software  #archive,What are Spaced Repetition Systems and what is available?,2020-05-25T00:00:00.0,2022-12-29T18:46:56.311
